"Country","Region","InfMortRate","LifeExp","MatMortRate"
"MICRONESIA FEDERATED STATES OF","AUSTRALIA AND OCEANIA",20.4,75,129
"MOLDOVA","EUROPE",13.5,70.1,19
"MONACO","EUROPE",1.7,89.8,5
"MONGOLIA","EAST AND SOUTHEAST ASIA",8.6,71.9,41
"MONTENEGRO","EUROPE",3.1,78.2,6
"MOROCCO","AFRICA",17.8,74.2,70
"MOZAMBIQUE","AFRICA",56.7,58.3,82
"NAMIBIA","AFRICA",27.1,65.9,139
"NAURU","AUSTRALIA AND OCEANIA",7.5,68.6,273
"NEPAL","SOUTH ASIA",23.4,73,142
"NETHERLANDS","EUROPE",3.6,81.9,4
"NEW ZEALAND","AUSTRALIA AND OCEANIA",3.3,82.9,7
"NICARAGUA","CENTRAL AMERICA AND THE CARIBBEAN",14.1,74.7,60
"NIGER","AFRICA",63,60.9,350
"NIGERIA","AFRICA",65.6,62.2,993
"NORTH MACEDONIA","EUROPE",6.8,77.3,3
"NORWAY","EUROPE",1.8,82.9,1
"OMAN","MIDDLE EAST",13.6,77.4,13
"PAKISTAN","SOUTH ASIA",50.3,70.3,155
"PALAU","AUSTRALIA AND OCEANIA",10.6,75.2,89
"PANAMA","CENTRAL AMERICA AND THE CARIBBEAN",13.2,79.2,37
"PAPUA NEW GUINEA","EAST AND SOUTHEAST ASIA",31.3,70.1,189
"PARAGUAY","SOUTH AMERICA",21.4,78.8,58
"PERU","SOUTH AMERICA",10.6,68.9,51
"PHILIPPINES","EAST AND SOUTHEAST ASIA",18.5,70.8,84
"POLAND","EUROPE",4.6,76.7,2
"PORTUGAL","EUROPE",2.4,81.9,15
"PUERTO RICO","CENTRAL AMERICA AND THE CARIBBEAN",5.7,82.1,11
"QATAR","MIDDLE EAST",6.2,80.3,4
"ROMANIA","EUROPE",5.3,76.9,12
"RUSSIA","CENTRAL ASIA",6.4,72.3,9
"RWANDA","AFRICA",27.4,66.6,229
"SAINT KITTS AND NEVIS","CENTRAL AMERICA AND THE CARIBBEAN",7.9,77.6,74
"SAINT LUCIA","CENTRAL AMERICA AND THE CARIBBEAN",11.3,79.4,44
"SAINT VINCENT AND THE GRENADINES","CENTRAL AMERICA AND THE CARIBBEAN",12,77.2,56
"SAMOA","AUSTRALIA AND OCEANIA",17.2,75.7,101
"SAN MARINO","EUROPE",6.1,84.2,8
"SAO TOME AND PRINCIPE","AFRICA",41.7,67.7,75
"SAUDI ARABIA","MIDDLE EAST",11.4,77.2,7
"SENEGAL","AFRICA",30.4,70.6,237
"SERBIA","EUROPE",4.4,75.3,11
"SEYCHELLES","AFRICA",10,76.6,42
"SIERRA LEONE","AFRICA",70.1,59.4,354
"SLOVAKIA","EUROPE",5,77.2,4
"SLOVENIA","EUROPE",1.8,82.2,3
"SOLOMON ISLANDS","AUSTRALIA AND OCEANIA",18.6,77.2,123
"SOMALIA","AFRICA",81.5,56.5,563
"SOUTH AFRICA","AFRICA",19.7,71.9,118
"SOUTH SUDAN","AFRICA",58.6,60.3,692
"SPAIN","EUROPE",2.4,83,3
"SRI LANKA","SOUTH ASIA",6.8,76.8,18
"SUDAN","AFRICA",39.7,67.8,256
"SURINAME","SOUTH AMERICA",29.3,72.7,84
"SWEDEN","EUROPE",2.2,82.9,4
"SWITZERLAND","EUROPE",3,83.9,5
"SYRIA","MIDDLE EAST",14.7,74.8,20
"TAJIKISTAN","CENTRAL ASIA",20.3,71.9,14
"TANZANIA","AFRICA",28.4,70.8,276
"THAILAND","EAST AND SOUTHEAST ASIA",6.2,78.2,34
"TIMOR LESTE","EAST AND SOUTHEAST ASIA",41.9,70.5,192
"TOGO","AFRICA",34.5,72.1,349
"TONGA","AUSTRALIA AND OCEANIA",11.5,78,67
"TRINIDAD AND TOBAGO","CENTRAL AMERICA AND THE CARIBBEAN",14.7,76.5,54
"TUNISIA","AFRICA",10.6,77.3,36
"TURKEY","MIDDLE EAST",17.9,76.7,15
"TURKMENISTAN","CENTRAL ASIA",35,72.4,5
"TUVALU","AUSTRALIA AND OCEANIA",27.2,69,170
"UGANDA","AFRICA",27.5,69.7,170
"UKRAINE","EUROPE",8.4,70.5,15
"UNITED ARAB EMIRATES","MIDDLE EAST",4.9,79.9,3
"UNITED KINGDOM","EUROPE",3.7,82.2,8
"UNITED STATES","NORTH AMERICA",5,80.9,17
"URUGUAY","SOUTH AMERICA",6.9,78.9,15
"UZBEKISTAN","CENTRAL ASIA",17.6,76.2,26
"VANUATU","AUSTRALIA AND OCEANIA",13.4,75.7,100
"VENEZUELA","SOUTH AMERICA",13.6,74.5,227
"VIETNAM","EAST AND SOUTHEAST ASIA",13.8,76.1,48
"WEST BANK","MIDDLE EAST",14.2,76.5,16
"YEMEN","MIDDLE EAST",42.4,68.2,118
"ZAMBIA","AFRICA",30.1,66.9,85
"ZIMBABWE","AFRICA",32.8,67.2,358
